SampleID,Sample1,Location,Treatment,Timing,Treated,depth_below_plot_cm,depth_below_ground_cm,Replicate,C,N,Clay,Silt,Sand
160705-KTR-BC-BEFORE-DNA-010,160705-KTR-BC-BEFORE-DNA-010,KTR,BC,Before,FALSE,10,110,1,0.75,0.07,23.97,46.19,29.84
160705-KTR-BC-BEFORE-DNA-030,160705-KTR-BC-BEFORE-DNA-030,KTR,BC,Before,FALSE,30,130,1,0.58,0.06,18.4,37.37,44.23
160705-KTR-BC-BEFORE-DNA-040,160705-KTR-BC-BEFORE-DNA-040,KTR,BC,Before,FALSE,40,140,1,0.65,0.06,21.07,40.43,38.5
160705-KTR-BC-BEFORE-DNA-060,160705-KTR-BC-BEFORE-DNA-060,KTR,BC,Before,FALSE,60,160,1,0.65,0.06,17.13,37.29,45.57
160705-KTR-BC-BEFORE-DNA-080,160705-KTR-BC-BEFORE-DNA-080,KTR,BC,Before,FALSE,80,180,1,0.77,0.07,22.42,45.36,32.21
160705-KTR-BC-BEFORE-DNA-090,160705-KTR-BC-BEFORE-DNA-090,KTR,BC,Before,FALSE,90,190,1,0.77,0.07,18.52,41.11,40.37
160705-KTR-NS-BEFORE-DNA-010,160705-KTR-NS-BEFORE-DNA-010,KTR,NS,Before,FALSE,10,110,1,0.6,0.06,17.69,37.57,44.74
160705-KTR-NS-BEFORE-DNA-030,160705-KTR-NS-BEFORE-DNA-030,KTR,NS,Before,FALSE,30,130,1,0.6,0.06,18.85,37.38,43.78
160705-KTR-NS-BEFORE-DNA-040,160705-KTR-NS-BEFORE-DNA-040,KTR,NS,Before,FALSE,40,140,1,0.66,0.06,18.85,37.38,43.78
160705-KTR-NS-BEFORE-DNA-060,160705-KTR-NS-BEFORE-DNA-060,KTR,NS,Before,FALSE,60,160,1,0.6,0.06,17.62,35.07,47.32
160705-KTR-NS-BEFORE-DNA-080,160705-KTR-NS-BEFORE-DNA-080,KTR,NS,Before,FALSE,80,180,1,0.38,0.04,11.31,25.73,62.96
160705-KTR-NS-BEFORE-DNA-090,160705-KTR-NS-BEFORE-DNA-090,KTR,NS,Before,FALSE,90,190,1,0.41,0.04,13.96,27.98,58.07
160705-KTR-RW-BEFORE-DNA-010,160705-KTR-RW-BEFORE-DNA-010,KTR,WC,Before,FALSE,10,110,1,0.63,0.06,15.78,34.4,49.81
160705-KTR-RW-BEFORE-DNA-030,160705-KTR-RW-BEFORE-DNA-030,KTR,WC,Before,FALSE,30,130,1,0.71,0.06,14.91,35.34,49.75
160705-KTR-RW-BEFORE-DNA-040,160705-KTR-RW-BEFORE-DNA-040,KTR,WC,Before,FALSE,40,140,1,0.79,0.07,18.02,38.06,43.92
